2020-04-12 13:30:42.594 | INFO     | Testapi.Commom.log:Log:15 - 测试开始
2020-04-12 13:30:42.595 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第1条接口
2020-04-12 13:30:42.595 | INFO     | Testapi.Commom.log:Log:15 - 接口名手机固话来电显示
2020-04-12 13:30:42.595 | INFO     | Testapi.Commom.log:Log:15 - 接口url为http://zhouxunwang.cn/api_a.php?id=51
2020-04-12 13:30:42.881 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.138073
2020-04-12 13:30:42.882 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:42.883 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:42.885 | INFO     | Testapi.Commom.log:Log:15 - 手机固话来电显示接口响应为文本类型,测试不通过
2020-04-12 13:30:42.900 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第2条接口
2020-04-12 13:30:42.901 | INFO     | Testapi.Commom.log:Log:15 - 接口名新闻头条
2020-04-12 13:30:42.902 | INFO     | Testapi.Commom.log:Log:15 - 接口url为http://zhouxunwang.cn/api_a.php?id=75
2020-04-12 13:30:43.112 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.093069
2020-04-12 13:30:43.114 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:43.116 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:43.117 | INFO     | Testapi.Commom.log:Log:15 - 新闻头条接口响应为文本类型,测试不通过
2020-04-12 13:30:43.119 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第3条接口
2020-04-12 13:30:43.120 | INFO     | Testapi.Commom.log:Log:15 - 接口名音乐详情
2020-04-12 13:30:43.121 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/musicDetails?id=604392760
2020-04-12 13:30:43.395 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.270722
2020-04-12 13:30:43.395 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:43.396 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:43.397 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:43.398 | INFO     | Testapi.Commom.log:Log:15 - 参数返回成功!True
2020-04-12 13:30:43.398 | INFO     | Testapi.Commom.log:Log:15 - 参数返回{'xcode': '', 'songList': ''}True
2020-04-12 13:30:43.399 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第4条接口
2020-04-12 13:30:43.400 | INFO     | Testapi.Commom.log:Log:15 - 接口名音乐排行榜
2020-04-12 13:30:43.400 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/musicRankings
2020-04-12 13:30:43.591 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.187228
2020-04-12 13:30:43.593 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:43.595 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:43.596 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:43.598 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第5条接口
2020-04-12 13:30:43.599 | INFO     | Testapi.Commom.log:Log:15 - 接口名音乐排行榜详情
2020-04-12 13:30:43.600 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/musicRankingsDetails?type=1
2020-04-12 13:30:43.794 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.188788
2020-04-12 13:30:43.795 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:43.805 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:43.807 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:43.808 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第6条接口
2020-04-12 13:30:43.810 | INFO     | Testapi.Commom.log:Log:15 - 接口名音乐电台
2020-04-12 13:30:43.811 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/musicBroadcasting
2020-04-12 13:30:43.956 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.141697
2020-04-12 13:30:43.957 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:43.960 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:43.961 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:43.962 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第7条接口
2020-04-12 13:30:43.963 | INFO     | Testapi.Commom.log:Log:15 - 接口名音乐电台详情
2020-04-12 13:30:43.964 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/musicBroadcastingDetails?channelname=public_tuijian_spring
2020-04-12 13:30:44.115 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.146278
2020-04-12 13:30:44.117 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:44.119 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:44.120 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:44.122 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第8条接口
2020-04-12 13:30:44.124 | INFO     | Testapi.Commom.log:Log:15 - 接口名视频分类
2020-04-12 13:30:44.125 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/videoHomeTab
2020-04-12 13:30:44.271 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.141974
2020-04-12 13:30:44.273 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:44.275 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:44.276 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:44.277 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第9条接口
2020-04-12 13:30:44.278 | INFO     | Testapi.Commom.log:Log:15 - 接口名视频分类2
2020-04-12 13:30:44.278 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/videoCategory
2020-04-12 13:30:44.433 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.151644
2020-04-12 13:30:44.435 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:44.437 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:44.439 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:44.441 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第10条接口
2020-04-12 13:30:44.442 | INFO     | Testapi.Commom.log:Log:15 - 接口名今日视频推荐
2020-04-12 13:30:44.442 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/todayVideo
2020-04-12 13:30:44.655 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.173783
2020-04-12 13:30:44.656 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:44.658 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:44.659 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:44.660 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第11条接口
2020-04-12 13:30:44.660 | INFO     | Testapi.Commom.log:Log:15 - 接口名根据ID推荐视频
2020-04-12 13:30:44.661 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/videoRecommend?id=127398
2020-04-12 13:30:44.896 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.194181
2020-04-12 13:30:44.897 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:44.900 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:44.900 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:44.901 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第12条接口
2020-04-12 13:30:44.902 | INFO     | Testapi.Commom.log:Log:15 - 接口名最新段子
2020-04-12 13:30:44.903 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/getJoke?page=1&count=2&type=video
2020-04-12 13:30:45.086 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.178759
2020-04-12 13:30:45.086 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:45.087 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:45.087 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:45.088 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第13条接口
2020-04-12 13:30:45.089 | INFO     | Testapi.Commom.log:Log:15 - 接口名通过ID查段子
2020-04-12 13:30:45.089 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/getSingleJoke?sid=28654780
2020-04-12 13:30:45.234 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.140435
2020-04-12 13:30:45.235 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:45.235 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:45.236 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:45.237 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第14条接口
2020-04-12 13:30:45.238 | INFO     | Testapi.Commom.log:Log:15 - 接口名随机一首诗词推荐
2020-04-12 13:30:45.239 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/recommendPoetry
2020-04-12 13:30:45.396 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.154249
2020-04-12 13:30:45.396 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:45.397 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:45.397 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:45.398 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第15条接口
2020-04-12 13:30:45.399 | INFO     | Testapi.Commom.log:Log:15 - 接口名古诗词作者搜索
2020-04-12 13:30:45.399 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/searchAuthors?name=%E6%9D%8E%E7%99%BD
2020-04-12 13:30:45.558 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.155226
2020-04-12 13:30:45.559 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:45.559 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:45.560 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:45.561 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第16条接口
2020-04-12 13:30:45.561 | INFO     | Testapi.Commom.log:Log:15 - 接口名模糊搜索(诗词名/作者)
2020-04-12 13:30:45.562 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/likePoetry?name=%E9%94%84%E7%A6%BE
2020-04-12 13:30:45.808 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.243696
2020-04-12 13:30:45.809 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:45.809 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:45.810 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:45.811 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第17条接口
2020-04-12 13:30:45.811 | INFO     | Testapi.Commom.log:Log:15 - 接口名获取宋朝古诗词
2020-04-12 13:30:45.812 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/getSongPoetry?page=1&count=20
2020-04-12 13:30:45.956 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.140692
2020-04-12 13:30:45.958 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:45.960 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:45.961 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:45.963 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第18条接口
2020-04-12 13:30:45.964 | INFO     | Testapi.Commom.log:Log:15 - 接口名获取唐朝古诗词
2020-04-12 13:30:45.965 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/getTangPoetry?page=1&count=20
2020-04-12 13:30:46.119 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.150627
2020-04-12 13:30:46.120 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:46.121 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:46.123 | INFO     | Testapi.Commom.log:Log:15 - 参数返回200True
2020-04-12 13:30:46.125 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第19条接口
2020-04-12 13:30:46.125 | INFO     | Testapi.Commom.log:Log:15 - 接口名首页banner轮播
2020-04-12 13:30:46.126 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/banners
2020-04-12 13:30:47.531 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为1.400428
2020-04-12 13:30:47.532 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:47.534 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:47.535 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:47.537 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第20条接口
2020-04-12 13:30:47.537 | INFO     | Testapi.Commom.log:Log:15 - 接口名获取干货所有子分类
2020-04-12 13:30:47.538 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/categories/GanHuo
2020-04-12 13:30:49.624 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为2.079384
2020-04-12 13:30:49.626 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:49.627 | INFO     | Testapi.Commom.log:Log:15 - 响应时间大于2
2020-04-12 13:30:49.627 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:49.629 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第21条接口
2020-04-12 13:30:49.630 | INFO     | Testapi.Commom.log:Log:15 - 接口名获取文章所有子分类
2020-04-12 13:30:49.631 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/categories/Article
2020-04-12 13:30:50.974 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为1.338584
2020-04-12 13:30:50.976 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:50.978 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:50.979 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:50.981 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第22条接口
2020-04-12 13:30:50.984 | INFO     | Testapi.Commom.log:Log:15 - 接口名获取妹纸所有子分类
2020-04-12 13:30:50.985 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/categories/Girl
2020-04-12 13:30:53.812 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为2.823101
2020-04-12 13:30:53.813 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:53.814 | INFO     | Testapi.Commom.log:Log:15 - 响应时间大于2
2020-04-12 13:30:53.815 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:53.817 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第23条接口
2020-04-12 13:30:53.818 | INFO     | Testapi.Commom.log:Log:15 - 接口名获取妹子列表
2020-04-12 13:30:53.820 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/data/category/Girl/type/Girl/page/1/count/10
2020-04-12 13:30:54.130 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.305241
2020-04-12 13:30:54.131 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:54.133 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:54.134 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:54.136 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第24条接口
2020-04-12 13:30:54.137 | INFO     | Testapi.Commom.log:Log:15 - 接口名获取Android干货列表
2020-04-12 13:30:54.139 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/data/category/GanHuo/type/Android/page/1/count/10
2020-04-12 13:30:54.546 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.403052
2020-04-12 13:30:54.547 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:54.548 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:54.550 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:54.551 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第25条接口
2020-04-12 13:30:54.551 | INFO     | Testapi.Commom.log:Log:15 - 接口名获取干货分类下Android子分类的10个随机文章列表
2020-04-12 13:30:54.552 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/random/category/GanHuo/type/Android/count/10
2020-04-12 13:30:56.275 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为1.718883
2020-04-12 13:30:56.276 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:56.278 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:56.279 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:56.280 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第26条接口
2020-04-12 13:30:56.282 | INFO     | Testapi.Commom.log:Log:15 - 接口名文章详情 API
2020-04-12 13:30:56.283 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/post/<post_id>
2020-04-12 13:30:56.859 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.569492
2020-04-12 13:30:56.860 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:56.861 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:56.862 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:56.864 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第27条接口
2020-04-12 13:30:56.865 | INFO     | Testapi.Commom.log:Log:15 - 接口名搜索干货-Android分类下的Android关键字
2020-04-12 13:30:56.866 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/search/android/category/GanHuo/type/Android/page/1/count/10
2020-04-12 13:30:57.313 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.442341
2020-04-12 13:30:57.314 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:57.315 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:57.315 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:57.316 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第28条接口
2020-04-12 13:30:57.317 | INFO     | Testapi.Commom.log:Log:15 - 接口名搜索文章-Android分类下的Android关键字
2020-04-12 13:30:57.318 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/search/android/category/Article/type/Android/page/1/count/10
2020-04-12 13:30:57.914 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.591889
2020-04-12 13:30:57.914 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:57.915 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:57.915 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:57.916 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第29条接口
2020-04-12 13:30:57.917 | INFO     | Testapi.Commom.log:Log:15 - 接口名搜索全部分类下的Android关键字
2020-04-12 13:30:57.917 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://gank.io/api/v2/search/android/category/All/type/All/page/1/count/10
2020-04-12 13:30:59.677 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为1.754812
2020-04-12 13:30:59.678 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:30:59.679 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:30:59.680 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:30:59.683 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第30条接口
2020-04-12 13:30:59.683 | INFO     | Testapi.Commom.log:Log:15 - 接口名架构图
2020-04-12 13:30:59.685 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.github.com
2020-04-12 13:31:00.555 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.864987
2020-04-12 13:31:00.556 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:31:00.557 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:31:00.557 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:31:00.558 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第31条接口
2020-04-12 13:31:00.559 | INFO     | Testapi.Commom.log:Log:15 - 接口名摘要表示
2020-04-12 13:31:00.560 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.github.com/orgs/octokit/repos
2020-04-12 13:31:07.340 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为3.801834
2020-04-12 13:31:07.342 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:31:07.349 | INFO     | Testapi.Commom.log:Log:15 - 响应时间大于2
2020-04-12 13:31:07.350 | INFO     | Testapi.Commom.log:Log:15 - 摘要表示接口响应为文本类型,测试不通过
2020-04-12 13:31:07.351 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第32条接口
2020-04-12 13:31:07.352 | INFO     | Testapi.Commom.log:Log:15 - 接口名详细表示
2020-04-12 13:31:07.352 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.github.com/repos/octokit/octokit.rb
2020-04-12 13:31:09.173 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为1.816975
2020-04-12 13:31:09.174 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
2020-04-12 13:31:09.176 | INFO     | Testapi.Commom.log:Log:15 - 响应时间小于2
2020-04-12 13:31:09.176 | INFO     | Testapi.Commom.log:Log:15 - 200需要关注的参数不在响应中,测试不通过
2020-04-12 13:31:09.177 | INFO     | Testapi.Commom.log:Log:15 - 正在运行第33条接口
2020-04-12 13:31:09.178 | INFO     | Testapi.Commom.log:Log:15 - 接口名平台接口预览
2020-04-12 13:31:09.179 | INFO     | Testapi.Commom.log:Log:15 - 接口url为https://api.apiopen.top/getAllUrl
2020-04-12 13:31:09.337 | INFO     | Testapi.Commom.log:Log:15 - 接口响应时间为0.15467
2020-04-12 13:31:09.338 | INFO     | Testapi.Commom.log:Log:15 - 接口响应码为200
